Timestamp,"Throughout this course, how often have you done each of the following? [Describe the methods that you chose to solve a quantitative problem and why they were appropriate.]","Throughout this course, how often have you done each of the following? [Carried out calculations, either by hand or using software.]","Throughout this course, how often have you done each of the following? [Created a visual representation of numerical information, such as a graph, table, chart, or diagram.]","Throughout this course, how often have you done each of the following? [Described numerical information (numbers, graphs, statistics, etc.) by writing in words.]","Throughout this course, how often have you done each of the following? [Reached conclusions based on your own analysis of numerical information (numbers, graphs, statistics, etc.)]","Throughout this course, how often have you done each of the following? [Constructed a single, coherent argument using several conclusions that were each based on quantitative evidence.]","Throughout this course, how often have you done each of the following? [Decided when a solution or inference was reasonable or not reasonable in the context of a problem.]","Throughout this course, how often have you done each of the following? [Used quantitative reasoning to examine a real-world problem or issue (unemployment, climate change, public health, etc.)]",Describe how much this course has improved your general quantitative/numerical skills. ,Describe how much this course has improved your ability to apply your quantitative/numerical skills to real-world problems. ,How confident do you feel using numbers in your everyday life?,"Please give an example of a quantitative skill that you developed in this course that you feel will be important in the future (such as in a future class, workplace, or daily life).",How frequently do you... [Do calculations in your everyday life?],How frequently do you... [Encounter graphs and tables in your everyday life?],How frequently do you... [Encounter situations like those you have learned about in this course?],"Please give an example of a time when you used ""quantitative reasoning"" in your daily life."
5/6/24 9:57,Sometimes,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Moderate improvement,Major improvement,4,,Sometimes,Infrequently,Infrequently,
5/6/24 10:11,Frequently,Infrequently,Infrequently,Frequently,Sometimes,Infrequently,Frequently,Sometimes,Moderate improvement,Moderate improvement,3,,Frequently,Sometimes,Infrequently,
5/6/24 10:11,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Major improvement,Major improvement,3,,Sometimes,Frequently,Frequently,
5/6/24 10:12,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Moderate improvement,Moderate improvement,3,,Sometimes,Infrequently,Infrequently,
5/6/24 10:16,Frequently,Frequently,Sometimes,Frequently,Frequently,Sometimes,Frequently,Sometimes,None,Minor improvement,,,Sometimes,Never,Never,
5/6/24 10:18,Sometimes,Sometimes,Frequently,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Moderate improvement,Moderate improvement,3,,Infrequently,Infrequently,Sometimes,
5/6/24 10:18,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Minor improvement,Moderate improvement,4,,Frequently,Sometimes,Infrequently,
5/6/24 10:19,Sometimes,Infrequently,Sometimes,Infrequently,Frequently,Sometimes,Never,Frequently,Moderate improvement,Major improvement,3,,Infrequently,Infrequently,Sometimes,
5/6/24 10:25,Infrequently,Sometimes,Sometimes,Sometimes,Sometimes,Infrequently,Infrequently,Never,Minor improvement,None,3,,Never,Never,Infrequently,
5/6/24 10:27,Sometimes,Frequently,Frequently,Frequently,Sometimes,Sometimes,Frequently,Frequently,Moderate improvement,Major improvement,4,,Frequently,Sometimes,Sometimes,
5/6/24 10:36,Sometimes,Frequently,Sometimes,Sometimes,Frequently,Sometimes,Sometimes,Sometimes,Moderate improvement,Moderate improvement,3,,Infrequently,Never,Infrequently,
5/6/24 10:38,Sometimes,Sometimes,Sometimes,Infrequently,Infrequently,Sometimes,Sometimes,Infrequently,Moderate improvement,Minor improvement,3,,Infrequently,Never,Infrequently,
5/6/24 10:58,Sometimes,Sometimes,Frequently,Frequently,Sometimes,Sometimes,Sometimes,Infrequently,Moderate improvement,Minor improvement,3,,Sometimes,Sometimes,Sometimes,
5/6/24 11:00,Sometimes,Infrequently,Sometimes,Infrequently,Frequently,Sometimes,Sometimes,Sometimes,Moderate improvement,Moderate improvement,4,,Infrequently,Sometimes,Sometimes,
5/6/24 11:08,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Moderate improvement,Major improvement,3,,Sometimes,Infrequently,Infrequently,
5/6/24 11:49,Sometimes,Frequently,Sometimes,Frequently,Frequently,Sometimes,Sometimes,Frequently,Major improvement,Major improvement,4,,Sometimes,Infrequently,Sometimes,
5/6/24 12:02,Frequently,Frequently,Frequently,Frequently,Sometimes,Sometimes,Frequently,Sometimes,Moderate improvement,Moderate improvement,4,,Frequently,Infrequently,Sometimes,
5/6/24 12:20,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Major improvement,Major improvement,3,,Frequently,Frequently,Infrequently,
5/6/24 13:15,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Moderate improvement,Major improvement,4,,Sometimes,Infrequently,Infrequently,
5/6/24 13:26,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Moderate improvement,Moderate improvement,3,,Infrequently,Infrequently,Infrequently,
5/6/24 13:32,Frequently,Frequently,Frequently,Frequently,Sometimes,Sometimes,Sometimes,Sometimes,Moderate improvement,Moderate improvement,4,,Infrequently,Sometimes,Sometimes,
5/6/24 13:39,Frequently,Frequently,Frequently,Frequently,Frequently,Sometimes,Frequently,Sometimes,Moderate improvement,Moderate improvement,3,,Infrequently,Infrequently,Sometimes,
5/6/24 13:55,Frequently,Frequently,Frequently,Sometimes,Frequently,Sometimes,Frequently,Frequently,Moderate improvement,Major improvement,3,,Infrequently,Sometimes,Sometimes,
5/6/24 14:05,Sometimes,Frequently,Frequently,Frequently,Frequently,Sometimes,Sometimes,Sometimes,Minor improvement,Moderate improvement,3,,Never,Never,Never,
5/6/24 14:06,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Major improvement,Major improvement,3,,Sometimes,Sometimes,Frequently,
5/6/24 14:06,Sometimes,Frequently,Sometimes,Frequently,Sometimes,,Sometimes,Infrequently,Moderate improvement,Minor improvement,1,,Infrequently,Infrequently,Infrequently,
5/6/24 14:07,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Moderate improvement,Moderate improvement,2,,Never,Never,Sometimes,
5/6/24 14:07,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Major improvement,Major improvement,3,,Sometimes,Infrequently,Infrequently,
5/6/24 14:08,Frequently,Frequently,Sometimes,Frequently,Sometimes,Frequently,Sometimes,Sometimes,Moderate improvement,Moderate improvement,3,,Infrequently,Sometimes,Infrequently,
5/6/24 14:10,Sometimes,Sometimes,Infrequently,Frequently,Sometimes,Frequently,Frequently,Infrequently,Moderate improvement,Minor improvement,3,,Infrequently,Infrequently,Never,
5/6/24 14:10,Sometimes,Frequently,Frequently,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Moderate improvement,Moderate improvement,4,,Never,Infrequently,Infrequently,
5/6/24 14:10,Infrequently,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Frequently,Minor improvement,Moderate improvement,3,,Sometimes,Infrequently,Infrequently,
5/6/24 14:11,Sometimes,Frequently,Sometimes,Sometimes,Sometimes,Frequently,Frequently,Sometimes,Moderate improvement,Moderate improvement,3,,Sometimes,Sometimes,Frequently,
5/6/24 14:11,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Major improvement,Major improvement,4,,Frequently,Frequently,Sometimes,
5/6/24 14:11,Infrequently,Infrequently,Infrequently,Infrequently,Infrequently,Infrequently,Infrequently,Infrequently,Moderate improvement,Minor improvement,4,,Never,Never,Never,
5/6/24 14:11,Frequently,Sometimes,Frequently,Frequently,Frequently,Sometimes,Frequently,Sometimes,Moderate improvement,Moderate improvement,3,,Frequently,Sometimes,Sometimes,
5/6/24 14:16,Sometimes,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Infrequently,Moderate improvement,Minor improvement,3,,Infrequently,Infrequently,Infrequently,
5/6/24 14:21,Sometimes,Sometimes,Sometimes,Sometimes,Frequently,Sometimes,Sometimes,Sometimes,Moderate improvement,Moderate improvement,3,,Infrequently,Never,Infrequently,
5/6/24 14:35,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Moderate improvement,Moderate improvement,4,,Sometimes,Sometimes,Sometimes,
5/6/24 14:38,Sometimes,Frequently,Frequently,Sometimes,Infrequently,Frequently,Sometimes,Sometimes,Moderate improvement,Moderate improvement,3,,Sometimes,Sometimes,Infrequently,
5/6/24 14:42,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Sometimes,Moderate improvement,Moderate improvement,3,,Sometimes,Infrequently,Infrequently,
5/6/24 15:13,Sometimes,Frequently,Frequently,Frequently,Frequently,Sometimes,Frequently,Frequently,Major improvement,Major improvement,3,,Frequently,Sometimes,Sometimes,
5/6/24 15:13,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Major improvement,Major improvement,3,,Sometimes,Infrequently,Never,
5/6/24 15:43,Infrequently,Infrequently,Infrequently,Infrequently,Infrequently,Infrequently,Infrequently,Infrequently,None,None,3,,Never,Never,Never,
5/6/24 16:08,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Moderate improvement,Moderate improvement,3,,Sometimes,Infrequently,Infrequently,
5/6/24 16:09,Frequently,Frequently,Infrequently,Frequently,Sometimes,Frequently,Frequently,Sometimes,Major improvement,Moderate improvement,3,,Frequently,Frequently,Frequently,
5/6/24 16:10,Frequently,Frequently,Frequently,Frequently,Sometimes,Frequently,Frequently,Frequently,Major improvement,Major improvement,3,,Frequently,Frequently,Frequently,
5/6/24 16:10,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,,Sometimes,Sometimes,Moderate improvement,Moderate improvement,2,,Sometimes,Sometimes,Sometimes,
5/6/24 16:10,Sometimes,Frequently,Sometimes,Sometimes,Sometimes,Sometimes,Frequently,Sometimes,Moderate improvement,Moderate improvement,4,,Sometimes,Infrequently,Sometimes,
5/6/24 16:10,Frequently,Frequently,Sometimes,Frequently,Frequently,Frequently,Frequently,Frequently,Moderate improvement,Major improvement,1,,Sometimes,Infrequently,Infrequently,
5/6/24 16:10,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Moderate improvement,Major improvement,4,,Never,Never,Never,
5/6/24 16:12,Sometimes,Frequently,Infrequently,Frequently,Frequently,Frequently,Frequently,Sometimes,Moderate improvement,Moderate improvement,3,,Infrequently,Infrequently,Sometimes,
5/6/24 16:12,Infrequently,Frequently,Sometimes,Frequently,Frequently,Frequently,Frequently,Infrequently,Moderate improvement,Minor improvement,2,,Sometimes,Infrequently,Infrequently,
5/6/24 16:12,Infrequently,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Infrequently,Moderate improvement,Minor improvement,3,,Sometimes,Sometimes,Sometimes,
5/6/24 16:12,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Major improvement,Major improvement,3,,Sometimes,Sometimes,Sometimes,
5/6/24 16:12,Sometimes,Frequently,Sometimes,Sometimes,Frequently,Infrequently,Sometimes,Sometimes,Major improvement,Moderate improvement,3,,Frequently,Frequently,Infrequently,
5/6/24 16:12,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Major improvement,Major improvement,3,,Infrequently,Sometimes,Sometimes,
5/6/24 16:12,Frequently,Frequently,Frequently,Sometimes,Infrequently,Infrequently,Sometimes,Infrequently,Moderate improvement,Minor improvement,1,,Frequently,Never,Never,
5/6/24 16:13,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Moderate improvement,Major improvement,4,,Sometimes,Sometimes,Sometimes,
5/6/24 16:13,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Infrequently,Moderate improvement,Minor improvement,1,,Infrequently,Never,Infrequently,
5/6/24 16:13,Frequently,Frequently,Sometimes,Frequently,Frequently,Frequently,Frequently,Frequently,Major improvement,Major improvement,2,,Frequently,Sometimes,Sometimes,
5/6/24 16:13,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Moderate improvement,Moderate improvement,3,,Sometimes,Sometimes,Sometimes,
5/6/24 16:13,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Minor improvement,Moderate improvement,3,,Infrequently,Never,Never,
5/6/24 16:14,Infrequently,Frequently,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Moderate improvement,Moderate improvement,3,,Sometimes,Infrequently,Infrequently,
5/6/24 16:14,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Moderate improvement,Moderate improvement,3,,Sometimes,Never,Sometimes,
5/6/24 16:14,Sometimes,Frequently,Frequently,Infrequently,Sometimes,Infrequently,Infrequently,Infrequently,Moderate improvement,Minor improvement,4,,Sometimes,Never,Infrequently,
5/6/24 16:15,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Moderate improvement,Moderate improvement,3,,Frequently,Sometimes,Sometimes,
5/6/24 16:15,Sometimes,Frequently,Frequently,Frequently,Frequently,Frequently,Sometimes,Frequently,Moderate improvement,Major improvement,3,,Sometimes,Never,Never,
5/6/24 16:15,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Major improvement,Major improvement,3,,Infrequently,Never,Never,
5/6/24 16:16,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Moderate improvement,Moderate improvement,3,,Sometimes,Sometimes,Sometimes,
5/6/24 16:16,Infrequently,Frequently,Infrequently,Sometimes,Frequently,Sometimes,Sometimes,Never,Moderate improvement,Minor improvement,3,,Sometimes,Infrequently,Infrequently,
5/6/24 16:19,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Moderate improvement,Moderate improvement,3,,Frequently,Sometimes,Infrequently,
5/6/24 16:20,Infrequently,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Infrequently,Moderate improvement,Minor improvement,3,,Never,Sometimes,Infrequently,
5/6/24 16:37,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Frequently,Minor improvement,Moderate improvement,4,,Infrequently,Never,Never,
5/6/24 16:49,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Major improvement,Major improvement,3,,Sometimes,Sometimes,Sometimes,
5/6/24 16:53,Infrequently,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Minor improvement,Moderate improvement,4,,Sometimes,Never,Infrequently,
5/6/24 17:02,Frequently,Frequently,Never,Sometimes,Frequently,Sometimes,Sometimes,Sometimes,Moderate improvement,Moderate improvement,3,,Infrequently,Infrequently,Infrequently,
5/6/24 17:10,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Sometimes,Major improvement,Moderate improvement,3,,Never,Never,Never,
5/6/24 17:34,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Moderate improvement,Moderate improvement,3,,Never,Never,Never,
5/6/24 18:23,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Moderate improvement,Moderate improvement,4,,Infrequently,Infrequently,Infrequently,
5/6/24 18:43,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Major improvement,Major improvement,3,,Frequently,Frequently,Frequently,
5/6/24 19:18,Sometimes,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Moderate improvement,Major improvement,1,,Sometimes,Infrequently,Infrequently,
5/6/24 20:16,Sometimes,Frequently,Infrequently,Frequently,Frequently,Frequently,Sometimes,Infrequently,None,Minor improvement,3,,Infrequently,Never,Never,
5/6/24 20:52,Sometimes,Frequently,Frequently,Frequently,Infrequently,Never,Infrequently,Never,None,None,4,,Sometimes,Never,Never,
5/6/24 21:22,Infrequently,Frequently,Frequently,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Moderate improvement,Moderate improvement,4,,Frequently,Infrequently,Infrequently,
5/6/24 21:25,Infrequently,Infrequently,Infrequently,Infrequently,Sometimes,Sometimes,Sometimes,Infrequently,Moderate improvement,Minor improvement,4,,Infrequently,Infrequently,Infrequently,
5/6/24 21:28,Frequently,Frequently,Frequently,Frequently,Frequently,Sometimes,Infrequently,Sometimes,Major improvement,Moderate improvement,4,,Sometimes,Infrequently,Infrequently,
5/6/24 21:42,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Major improvement,Major improvement,3,,Infrequently,Infrequently,Infrequently,
5/6/24 22:01,Frequently,Sometimes,Sometimes,Sometimes,Sometimes,Frequently,Sometimes,Frequently,Moderate improvement,Major improvement,4,,Frequently,Sometimes,Sometimes,
5/6/24 22:11,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Moderate improvement,Moderate improvement,4,,Sometimes,Sometimes,Sometimes,
5/6/24 22:28,Sometimes,Frequently,Frequently,Frequently,Frequently,Never,Frequently,Never,Major improvement,Moderate improvement,4,,Frequently,Never,Infrequently,
5/6/24 23:26,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Infrequently,Moderate improvement,Minor improvement,3,,Infrequently,Infrequently,Infrequently,
5/6/24 23:50,Infrequently,Frequently,Frequently,Frequently,Frequently,Sometimes,Sometimes,Sometimes,Moderate improvement,Moderate improvement,4,,Sometimes,Infrequently,Infrequently,
5/7/24 0:17,Sometimes,Frequently,Frequently,Sometimes,Sometimes,Sometimes,Frequently,Sometimes,Moderate improvement,Moderate improvement,3,,Sometimes,Never,Never,
5/7/24 0:37,Sometimes,Frequently,Frequently,Frequently,Frequently,Sometimes,Frequently,Sometimes,Moderate improvement,Moderate improvement,3,,Frequently,Sometimes,Sometimes,
5/7/24 0:40,Sometimes,Frequently,Sometimes,Sometimes,Infrequently,Never,Never,Infrequently,Moderate improvement,Minor improvement,3,,Sometimes,Infrequently,Infrequently,
5/7/24 6:04,Frequently,Frequently,Frequently,Frequently,Frequently,Sometimes,Sometimes,Sometimes,Moderate improvement,Moderate improvement,4,,Frequently,Sometimes,Infrequently,
5/7/24 9:25,Frequently,Frequently,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Frequently,Moderate improvement,Major improvement,4,,Infrequently,Infrequently,Infrequently,
5/7/24 9:53,Infrequently,Sometimes,Frequently,Infrequently,Infrequently,Sometimes,Sometimes,Infrequently,Moderate improvement,Minor improvement,3,,Frequently,Sometimes,Sometimes,
5/7/24 10:06,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Moderate improvement,Major improvement,3,,Frequently,Frequently,Frequently,
5/7/24 11:05,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Sometimes,Moderate improvement,Moderate improvement,3,,Infrequently,Never,Never,
5/7/24 11:21,,,Frequently,,Frequently,Frequently,Frequently,Frequently,Major improvement,Major improvement,3,,,Sometimes,Sometimes,
5/7/24 12:13,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,None,Moderate improvement,4,,Frequently,Frequently,Frequently,
5/7/24 14:26,Frequently,Sometimes,Frequently,Sometimes,Sometimes,Frequently,Sometimes,Sometimes,Moderate improvement,Moderate improvement,4,,Frequently,Frequently,Frequently,
5/7/24 15:03,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Moderate improvement,Major improvement,3,,Infrequently,Sometimes,Never,
5/7/24 15:05,Sometimes,Frequently,Frequently,Sometimes,Frequently,Sometimes,Frequently,Frequently,Major improvement,Major improvement,3,,Frequently,Infrequently,Infrequently,
5/7/24 15:12,Sometimes,Sometimes,Frequently,Frequently,Sometimes,Infrequently,Sometimes,Infrequently,Moderate improvement,Minor improvement,3,,Infrequently,Infrequently,Infrequently,
5/7/24 18:46,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Moderate improvement,Major improvement,4,,Infrequently,Infrequently,Infrequently,
5/7/24 19:15,Sometimes,Sometimes,Frequently,Frequently,Frequently,Infrequently,Never,Sometimes,Major improvement,Moderate improvement,3,,Frequently,Infrequently,Infrequently,
5/7/24 20:13,Sometimes,Frequently,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Major improvement,Moderate improvement,4,,Sometimes,Infrequently,Sometimes,
5/7/24 20:38,Infrequently,Sometimes,Infrequently,Never,Never,Infrequently,Infrequently,Infrequently,Moderate improvement,Minor improvement,2,,Infrequently,Never,Never,
5/7/24 20:46,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Sometimes,Frequently,Moderate improvement,Major improvement,3,,Sometimes,Infrequently,Never,
5/7/24 21:28,Sometimes,Sometimes,Frequently,Frequently,Sometimes,Infrequently,Infrequently,Sometimes,Minor improvement,Moderate improvement,3,,Infrequently,Infrequently,Never,
5/7/24 21:29,Sometimes,Frequently,Frequently,Sometimes,Sometimes,Infrequently,Infrequently,Frequently,Moderate improvement,Major improvement,3,,Frequently,Sometimes,Sometimes,
5/7/24 21:43,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Infrequently,Sometimes,Infrequently,Moderate improvement,Minor improvement,4,,Infrequently,Infrequently,Infrequently,
5/7/24 22:21,Sometimes,Frequently,Frequently,Frequently,Frequently,Infrequently,Sometimes,Sometimes,Major improvement,Moderate improvement,4,,Frequently,Sometimes,Sometimes,
5/7/24 23:48,Infrequently,Sometimes,Sometimes,Sometimes,Infrequently,Infrequently,Infrequently,Sometimes,Moderate improvement,Moderate improvement,3,,Sometimes,Infrequently,Infrequently,
5/8/24 8:24,Sometimes,Frequently,Frequently,Frequently,Frequently,Sometimes,Frequently,Frequently,Moderate improvement,Major improvement,3,,Sometimes,Sometimes,Sometimes,
5/8/24 8:44,Frequently,Frequently,Frequently,Sometimes,Frequently,Infrequently,Sometimes,Frequently,Moderate improvement,Major improvement,3,,Infrequently,Never,Never,
5/8/24 8:46,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Moderate improvement,Moderate improvement,3,,Infrequently,Infrequently,Infrequently,
5/8/24 9:00,Frequently,Frequently,Frequently,Frequently,Infrequently,Infrequently,Sometimes,Infrequently,Major improvement,Moderate improvement,3,,Sometimes,Infrequently,Sometimes,
5/8/24 9:07,Infrequently,Sometimes,Sometimes,Infrequently,Sometimes,Infrequently,Sometimes,Infrequently,Moderate improvement,Minor improvement,3,,Infrequently,Infrequently,Infrequently,
5/8/24 10:42,Infrequently,Sometimes,Sometimes,Infrequently,Infrequently,Sometimes,Infrequently,Infrequently,Moderate improvement,Minor improvement,3,,Frequently,Sometimes,Sometimes,
5/8/24 10:43,Sometimes,Sometimes,Sometimes,Frequently,Frequently,Frequently,Frequently,Sometimes,Moderate improvement,Moderate improvement,3,,Frequently,Sometimes,Sometimes,
5/8/24 11:16,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Minor improvement,Moderate improvement,3,,Infrequently,Infrequently,Infrequently,
5/8/24 11:19,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Infrequently,Sometimes,Moderate improvement,Moderate improvement,3,,Frequently,Sometimes,Sometimes,
5/8/24 11:27,Infrequently,Frequently,Frequently,Frequently,Sometimes,Sometimes,Sometimes,Sometimes,Moderate improvement,Moderate improvement,3,,Frequently,Sometimes,Infrequently,
5/8/24 12:07,Sometimes,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Sometimes,Moderate improvement,Moderate improvement,4,,Frequently,Sometimes,Infrequently,
5/8/24 12:10,Frequently,Frequently,Frequently,Sometimes,Sometimes,Sometimes,Frequently,Sometimes,Major improvement,Moderate improvement,4,,Frequently,Frequently,Sometimes,
5/8/24 12:11,Sometimes,Infrequently,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Moderate improvement,Moderate improvement,3,,Never,Never,Never,
5/8/24 12:13,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Never,Major improvement,Moderate improvement,3,,Infrequently,Never,Never,
5/8/24 12:15,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,None,Minor improvement,3,,Never,Never,Never,
5/8/24 12:15,Frequently,Frequently,Frequently,Frequently,Frequently,Sometimes,Sometimes,Sometimes,Moderate improvement,Moderate improvement,3,,Sometimes,Never,Sometimes,
5/8/24 12:15,Frequently,Frequently,Sometimes,Frequently,Frequently,Frequently,Frequently,Frequently,Major improvement,Major improvement,3,,Sometimes,Sometimes,Sometimes,
5/8/24 12:16,Sometimes,Frequently,Sometimes,Frequently,Sometimes,Sometimes,Sometimes,Sometimes,Moderate improvement,Moderate improvement,2,,,,Infrequently,
5/8/24 12:16,Infrequently,Frequently,Sometimes,Frequently,Sometimes,Frequently,Frequently,Sometimes,Moderate improvement,Moderate improvement,3,,Infrequently,Never,Sometimes,
5/8/24 12:17,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Major improvement,Major improvement,4,,Frequently,Sometimes,Sometimes,
5/8/24 12:17,Infrequently,Frequently,Frequently,Frequently,Sometimes,Infrequently,Sometimes,Sometimes,Moderate improvement,Moderate improvement,3,,Sometimes,Infrequently,Sometimes,
5/8/24 12:17,Sometimes,Frequently,Frequently,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Moderate improvement,Moderate improvement,3,,Sometimes,Infrequently,Infrequently,
5/8/24 12:18,Sometimes,Frequently,Frequently,Frequently,Sometimes,Infrequently,Sometimes,Sometimes,Moderate improvement,Moderate improvement,3,,Frequently,Sometimes,Infrequently,
5/8/24 12:19,Frequently,Frequently,Sometimes,Frequently,Frequently,Frequently,Frequently,Frequently,Major improvement,Major improvement,3,,Infrequently,Frequently,Sometimes,
5/8/24 12:21,Frequently,Frequently,Frequently,Frequently,Frequently,Sometimes,Sometimes,Frequently,Moderate improvement,Major improvement,3,,Sometimes,Infrequently,Infrequently,
5/8/24 12:22,Sometimes,Frequently,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Frequently,Moderate improvement,Major improvement,3,,Frequently,Infrequently,Sometimes,
5/8/24 12:23,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Major improvement,Major improvement,3,,Sometimes,Sometimes,Frequently,
5/8/24 12:23,Sometimes,Sometimes,Sometimes,Frequently,Sometimes,Sometimes,Sometimes,Sometimes,Major improvement,Moderate improvement,3,,Sometimes,Infrequently,Sometimes,
5/8/24 12:24,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Major improvement,Major improvement,2,,Frequently,Frequently,Frequently,
5/8/24 12:30,Sometimes,Frequently,Sometimes,Sometimes,Frequently,Sometimes,Infrequently,Sometimes,Moderate improvement,Moderate improvement,4,,Frequently,Infrequently,Sometimes,
5/8/24 12:31,Never,Infrequently,Infrequently,Infrequently,Infrequently,Infrequently,Infrequently,Never,Minor improvement,None,3,,Infrequently,Sometimes,Infrequently,
5/8/24 12:34,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Moderate improvement,Major improvement,3,,Sometimes,Infrequently,Sometimes,
5/8/24 12:41,Infrequently,Infrequently,Sometimes,Sometimes,Sometimes,Infrequently,Sometimes,Sometimes,Moderate improvement,Moderate improvement,3,,Infrequently,Infrequently,Infrequently,
5/8/24 12:42,Never,Frequently,Sometimes,Sometimes,Frequently,Infrequently,Infrequently,Sometimes,Moderate improvement,Moderate improvement,3,,Frequently,Sometimes,Sometimes,
